epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.453,1.98304,2.97327,1.30375,0.65709,0.63264,0.68663,0.29992,1.84814,1.72839,1.2186,0.00033209,0.00033209,0.00033209
2,531.697,1.65606,1.28027,1.1399,0.79088,0.76028,0.79489,0.34462,1.92656,1.2073,1.27938,0.00066526,0.00066526,0.00066526
3,862.741,1.60412,1.15127,1.13139,0.81626,0.76323,0.84224,0.3753,1.86686,1.18676,1.25726,0.000997781,0.000997781,0.000997781
