epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12596.9,1.13517,0.55612,0.96334,0.96203,0.93643,0.96385,0.50572,1.67011,0.63942,1.14998,0.000643101,0.000643101,0.000643101
43,12898.8,1.13895,0.55386,0.96534,0.93193,0.94463,0.96119,0.46847,1.70318,0.64869,1.16402,0.000628101,0.000628101,0.000628101
44,13201.4,1.1282,0.55316,0.96238,0.93741,0.94366,0.95987,0.50228,1.67703,0.65412,1.15872,0.000612981,0.000612981,0.000612981
45,13480.2,1.11303,0.54529,0.96006,0.93567,0.94636,0.95915,0.4955,1.68195,0.64545,1.15523,0.000597754,0.000597754,0.000597754
46,13744.8,1.1192,0.54562,0.95847,0.94134,0.93891,0.96257,0.46719,1.69389,0.64778,1.15916,0.000582435,0.000582435,0.000582435
47,14079.5,1.10495,0.5491,0.95254,0.93865,0.9408,0.94815,0.44729,1.71152,0.65821,1.16978,0.00056704,0.00056704,0.00056704
48,14440.1,1.11074,0.5329,0.95312,0.93822,0.94031,0.95169,0.47318,1.66489,0.63931,1.1522,0.000551584,0.000551584,0.000551584
49,14707.9,1.10511,0.54055,0.95347,0.9445,0.9457,0.9547,0.48416,1.66597,0.63359,1.15016,0.000536081,0.000536081,0.000536081
50,15017.8,1.10748,0.54048,0.95371,0.92838,0.95376,0.95614,0.4833,1.66816,0.63693,1.15157,0.000520548,0.000520548,0.000520548
51,15311.9,1.09754,0.5334,0.95346,0.95015,0.93701,0.96063,0.47208,1.70366,0.64313,1.16315,0.000505,0.000505,0.000505
52,15564.6,1.08106,0.51979,0.94422,0.96641,0.92606,0.96408,0.49786,1.67174,0.62884,1.15225,0.000489452,0.000489452,0.000489452
53,15848.1,1.07714,0.52009,0.94746,0.96647,0.93446,0.96921,0.50718,1.66043,0.61598,1.1478,0.000473919,0.000473919,0.000473919
54,16113.1,1.07403,0.51634,0.94716,0.94651,0.9396,0.96031,0.50319,1.65343,0.63264,1.13853,0.000458416,0.000458416,0.000458416
